2019年　訪日外客数（総数）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,出典：日本政府観光局（JNTO)
,,,,,,,,,,,,,,,,,,,,,,,,,,
＊本表で、通年の月別・市場別の推移が確認できます。伸率は前年同月比を表しています。,,,,,,,,,,,,,,,,,,,,,,,,,,単位：人数（人）、伸率（％）
,1月,伸率,2月,伸率,3月,伸率,4月,伸率,5月,伸率,6月,伸率,7月,伸率,8月,伸率,9月,伸率,10月,伸率,11月,伸率,12月,伸率,累計,伸率
アフリカ計,2777,9.330708661417319,2337,8.194444444444438,3952,19.793876932403755,3933,4.213036565977735,2847,5.171776874769107,3852,35.39543057996485,3651,6.257275902211873,7790,153.25097529258778,7717,101.33055048265066,8657,102.78753806512066,4201,23.59517505148574,3325,18.201208674013515,55039,44.26620534193074
北アメリカ計,130340,11.171764384776782,120332,12.678852348490533,221773,13.575979187151743,219055,16.614762170938803,199117,11.40659094723886,207718,7.995216803576994,196104,6.414590602497256,151865,13.444687637729984,163454,21.30617091543286,200133,7.49262822062164,190290,18.05322910850549,187376,16.210818789615345,2187557,12.777005329122403
米国,103191,12.147064577129573,92669,13.115814657487434,176564,16.957685275959822,170247,15.792230051418787,156962,11.7461537913899,175491,8.504600089033971,156865,6.917445949998637,117828,14.294028634617618,127190,21.553561359748457,153363,6.5190968001833625,148993,17.311780545800985,144498,13.912495072920777,1723861,12.935868349660339
カナダ,22293,8.964270003421483,23883,14.585232452142204,37959,8.80869116551053,38897,13.551306378630867,35335,12.470955215329283,25402,6.222296562682942,29285,7.4600029355643755,27568,10.488557572842765,28525,23.484848484848484,37667,11.596006280923191,33316,20.544178305231924,35132,24.882695862363136,375262,13.50937689050211
メキシコ,3615,-0.08291873963516272,2889,-10.888340530536711,5740,-28.08819844650463,8222,55.51352373746927,5482,-4.875932673954542,5676,1.17647058823529,8661,-5.715218811234493,4800,0.8615255305736582,6282,11.799252536038438,7385,6.98247138925106,6494,22.22849614153961,6499,25.803329461866056,71745,4.816795231416563
その他北アメリカ,1241,7.819287576020861,891,13.793103448275868,1510,5.44692737430168,1689,32.470588235294116,1338,23.091076356945717,1149,6.388888888888886,1293,14.52612931798052,1669,56.713615023474176,1457,4.895608351331887,1718,10.83870967741936,1487,20.600162206001627,1247,14.403669724770651,16689,17.00084127874368
南アメリカ計,7420,-15.901620763912504,5883,-18.052653572921017,10689,-5.062616573407941,13089,10.492993415498898,9033,-7.467732022126617,7794,12.695199537304802,8712,-5.16002612671457,6797,6.586169045005491,13217,50.51816421819839,12160,15.391914974378437,8503,19.558492688413935,7903,12.4982206405694,111200,6.102820503034238
ブラジル,2935,-15.417867435158506,2122,-4.586330935251803,5070,14.0607424071991,5726,10.45524691358024,4244,4.352102286697801,3363,19.850320741268717,4476,0.6294964028777059,2957,11.41672946495855,3958,12.315550510783197,4656,0.8447043534762742,3733,12.847642079806533,4335,25.506658946149386,47575,7.63331146354156
その他南アメリカ,4485,-16.21520642630301,3761,-24.09687184661957,5619,-17.537422952744354,7363,10.522365655959165,4789,-15.908691834942934,4431,7.810218978102185,4236,-10.595187842971725,3840,3.1426269137791962,9259,76.1270686703443,7504,26.735348758655647,4770,25.394321766561518,3568,-0.0840100812097404,63625,4.986551820866964
オセアニア計,89476,15.93008642023297,52965,4.935214169671509,49987,-6.496445940890383,79852,21.91889581043116,52878,15.891906108225395,43360,4.764666086788452,41553,4.19769803656061,32459,14.239960581424,72742,29.868599585803025,67955,22.428205959716067,55834,22.496709082931105,82657,15.586413279075956,721718,14.462663771733801
豪州,81063,15.930152737257597,47658,5.517424611433386,44175,-6.945146612740139,70504,22.760830199192085,46223,16.83391047190557,37283,4.194846570901561,34873,2.9826063845494986,26951,13.578321884613757,60498,24.437953802167954,51563,8.68181434954893,48327,21.30271084337349,72653,14.219909445352783,621771,12.549960176670766
ニュージーランド,7920,16.402116402116395,5068,0,5393,-4.413328606876998,9010,17.073804573804562,6222,9.832303618711391,5541,7.801556420233453,6241,13.000181061017571,5149,22.77062470195517,11331,62.451612903225794,15683,106.46392838335967,7003,31.75917215428035,9554,25.876152832674563,94115,28.558354278220946
その他オセアニア,493,8.830022075055188,239,-0.4166666666666652,419,21.09826589595376,338,-8.15217391304348,433,8.521303258145373,536,15.021459227467801,439,-10.953346855983767,359,-26.734693877551024,913,117.38095238095235,709,52.14592274678111,504,18.588235294117638,450,43.76996805111821,5832,19.53269112523057
無国籍・その他,45,-27.419354838709676,48,26.315789473684205,60,-19.999999999999996,67,-5.633802816901412,66,17.85714285714286,72,10.769230769230774,62,14.81481481481481,61,69.44444444444443,51,13.333333333333329,74,21.311475409836063,55,-3.5087719298245617,67,26.41509433962264,728,8.172362555720653
注１：　本資料を引用される際は、出典名を「日本政府観光局（ＪＮＴＯ）」と明示してください。,,,,,,,,,,,,,,,,,,,,,,,,,,
注２：　表中の数値は、全て確定値である。,,,,,,,,,,,,,,,,,,,,,,,,,,
